ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1195,2,159,-1468.24,-1042.27,0.05,268.291277,1,439544,935
1196,2,157,-1464.8,-1045.4,0.05,343.987705,1,439701,936
1197,2,405,-746.59,-1042.9,0.05,425.861086,1,440106,937
1198,2,86,-885.11,-1040.52,0.05,315.47568,1,440192,938
1199,2,91,-873.67,-1038.12,0.05,246.006714,1,440283,939
1200,2,406,-404.26,-1030.82,0.05,338.833286,1,440689,940
1201,2,412,-360.54,-1022.92,0.05,334.597213,1,441101,941
1202,2,87,-864.24,-1020.56,0.05,596.960555,1,441188,942
1203,2,92,-860.2,-1018.39,0.05,1065.347842,1,441280,943
1204,2,163,-1355.01,-1020.22,0.05,233.194553,1,441443,944
1205,2,89,-856.63,-1020.33,0.05,314.320424,1,441532,945
1206,2,91,-857.4,-1019.63,0.05,282.547288,1,441623,946
1207,2,413,-523.07,-1014.26,0.05,310.612897,1,442036,947
1208,2,406,-304.56,-1008.6,0.05,331.010762,1,442442,948
1209,2,90,-849.59,-1005.6,0.05,287.181092,1,442532,949
1210,2,407,-385.44,-997.15,0.05,445.199605,1,442939,950
1211,2,89,-840.87,-993.57,0.05,374.170677,1,443028,951
1212,2,86,-849.66,-992.24,0.05,415.694485,1,443114,952
1213,2,87,-892.31,-989.57,0.05,242.878091,1,443201,953
1214,2,87,-846.65,-987.39,0.05,273.690639,1,443288,954
1215,2,407,-329.43,-980.37,0.05,352.390008,1,443695,955
1216,2,88,-823.23,-977.62,0.05,587.013899,1,443783,956
1217,2,88,-845.05,-974.08,0.05,229.63386,1,443871,957
1218,2,89,-859.96,-970.45,0.05,871.848944,1,443960,958
1219,2,406,-274.13,-961.86,0.05,344.437042,1,444366,959
1220,2,90,-847.41,-960.82,0.05,401.707806,1,444456,960
1221,2,404,-358.58,-952.62,0.05,355.902061,1,444860,961
1222,2,91,-832.94,-949.09,0.05,289.627371,1,444951,962
1223,2,87,-848.08,-948.94,0.05,226.981694,1,445038,963
1224,2,85,-864.72,-947.0,0.05,272.574824,1,445123,964
1225,2,86,-858.42,-945.11,0.05,360.813239,1,445209,965
1226,2,87,-831.03,-943.1,0.05,455.414602,1,445296,966
1227,2,83,-888.12,-940.53,0.05,321.538739,1,445379,967
1228,2,85,-897.75,-940.12,0.05,264.177169,1,445464,968
