ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
822,1,500,1576.78,126.11,0.05,2437.90361,0,214774,737
823,1,35,-1140.66,123.8,0.05,1019.468017,1,214809,738
824,1,500,666.79,139.37,0.05,1805.952732,0,215309,738
825,1,44,-1086.81,137.13,0.05,3002.108928,1,215353,739
826,1,500,1285.34,158.72,0.05,2334.104059,0,215853,739
827,1,44,-1101.36,143.49,0.05,2484.181418,1,215897,740
828,1,336,-22.79,139.09,0.05,1949.294581,1,216233,741
829,1,344,-104.16,132.57,0.05,1999.415927,1,216577,742
830,1,500,1649.38,143.51,0.05,1787.308956,0,217077,742
831,1,500,1410.31,153.15,0.05,2138.109343,0,217577,742
832,1,500,738.08,156.1,0.05,2151.484097,0,218077,742
833,1,500,1455.38,167.23,0.05,2247.493834,0,218577,742
834,1,500,1636.65,180.56,0.05,1651.629961,0,219077,742
835,1,500,1512.54,190.74,0.05,1768.213676,0,219577,742
836,1,500,1641.17,203.05,0.05,1686.940861,0,220077,742
837,1,335,-14.21,198.22,0.05,1775.016194,1,220412,743
838,1,342,-5.01,192.73,0.05,1619.873707,1,220754,744
839,1,341,90.7,188.09,0.05,1711.294797,1,221095,745
840,1,500,1633.53,200.44,0.05,1892.851143,0,221595,745
841,1,344,-84.71,195.59,0.05,1612.417055,1,221939,746
842,1,342,112.78,192.08,0.05,2529.99353,1,222281,747
843,1,338,70.72,187.36,0.05,1679.471578,1,222619,748
844,1,343,-3.81,182.28,0.05,2107.445464,1,222962,749
845,1,500,1702.23,195.31,0.05,1773.944579,0,223462,749
846,1,500,1654.1,206.43,0.05,1505.041611,0,223962,749
847,1,338,40.7,202.51,0.05,1433.803746,1,224300,750
848,1,339,-87.91,196.89,0.05,2026.534857,1,224639,751
849,1,336,38.88,192.1,0.05,1502.768912,1,224975,752
850,1,500,1732.83,204.08,0.05,1582.400234,0,225475,752
851,1,500,1360.55,212.21,0.05,1300.698054,0,225975,752
852,1,341,77.73,207.59,0.05,1384.877235,1,226316,753
853,1,336,26.11,202.72,0.05,1465.435619,1,226652,754
854,1,338,36.83,197.95,0.05,1863.797331,1,226990,755
855,1,338,65.46,193.12,0.05,1770.832974,1,227328,756
856,1,332,82.74,189.05,0.05,1414.704559,1,227660,757
857,1,340,26.16,184.2,0.05,1568.971779,1,228000,758
858,1,500,1672.0,195.39,0.05,1822.068563,0,228500,758
859,1,500,1647.66,206.31,0.05,1281.512455,0,229000,758
860,1,500,912.68,210.11,0.05,1010.386204,0,229500,758
861,1,500,1343.34,218.13,0.05,1803.947213,0,230000,758
862,1,332,70.18,213.4,0.05,1904.164712,1,230332,759
863,1,344,-105.16,207.03,0.05,1319.836332,1,230676,760
864,1,348,-150.95,200.25,0.05,1531.087683,1,231024,761
865,1,344,81.54,195.54,0.05,1433.609729,1,231368,762
